DEBUG 2026-01-27 00:21:44,333 autoreload File /Users/branko/Desktop/barter_app/.venv/lib/python3.12/site-packages/django/templatetags/static.py first seen with mtime 1769459623.0361075
DEBUG 2026-01-27 00:21:44,333 autoreload File /Users/branko/Desktop/barter_app/.venv/lib/python3.12/site-packages/cryptography/hazmat/primitives/asymmetric/padding.py first seen with mtime 1769460278.4665623
DEBUG 2026-01-27 00:21:44,334 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/asyncio/exceptions.py first seen with mtime 1696254874.0
DEBUG 2026-01-27 00:21:44,334 autoreload File /Users/branko/Desktop/barter_app/.venv/lib/python3.12/site-packages/django/db/backends/sqlite3/client.py first seen with mtime 1769459622.868947
DEBUG 2026-01-27 00:21:44,334 autoreload File /Users/branko/Desktop/barter_app/.venv/lib/python3.12/site-packages/PIL/_version.py first seen with mtime 1769459618.9001696
DEBUG 2026-01-27 00:21:44,334 autoreload File /Users/branko/Desktop/barter_app/.venv/lib/python3.12/site-packages/django/db/migrations/operations/special.py first seen with mtime 1769459622.8821769
DEBUG 2026-01-27 00:21:44,334 autoreload File /Users/branko/Desktop/barter_app/.venv/lib/python3.12/site-packages/allauth/socialaccount/__init__.py first seen with mtime 1769459714.430441
DEBUG 2026-01-27 00:21:44,334 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/lib-dynload/_bisect.cpython-312-darwin.so first seen with mtime 1696255160.0
DEBUG 2026-01-27 00:21:44,334 autoreload File /Users/branko/Desktop/barter_app/.venv/lib/python3.12/site-packages/django/core/checks/files.py first seen with mtime 1769459622.7906964
DEBUG 2026-01-27 00:21:44,334 autoreload File /Users/branko/Desktop/barter_app/.venv/lib/python3.12/site-packages/django/contrib/auth/apps.py first seen with mtime 1769459620.7044463
DEBUG 2026-01-27 00:21:44,334 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/lib-dynload/_socket.cpython-312-darwin.so first seen with mtime 1696255164.0
DEBUG 2026-01-27 00:21:44,334 autoreload File /Users/branko/Desktop/barter_app/.venv/lib/python3.12/site-packages/django/core/checks/translation.py first seen with mtime 1769459622.7932332
DEBUG 2026-01-27 00:21:44,334 autoreload File /Users/branko/Desktop/barter_app/.venv/lib/python3.12/site-packages/allauth/account/apps.py first seen with mtime 1769459714.2629042
DEBUG 2026-01-27 00:21:44,335 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/multiprocessing/context.py first seen with mtime 1696254875.0
DEBUG 2026-01-27 00:21:44,335 autoreload File /Users/branko/Desktop/barter_app/.venv/lib/python3.12/site-packages/allauth/account/internal/flows/__init__.py first seen with mtime 1769459714.2749002
DEBUG 2026-01-27 00:21:44,335 autoreload File /Users/branko/Desktop/barter_app/.venv/lib/python3.12/site-packages/django/template/exceptions.py first seen with mtime 1769459623.0105505
DEBUG 2026-01-27 00:21:44,335 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/encodings/utf_8.py first seen with mtime 1696254875.0
DEBUG 2026-01-27 00:21:44,335 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/html/entities.py first seen with mtime 1696254875.0
DEBUG 2026-01-27 00:21:44,335 autoreload File /Users/branko/Desktop/barter_app/.venv/lib/python3.12/site-packages/crispy_bootstrap5/__init__.py first seen with mtime 1769459626.262754
DEBUG 2026-01-27 00:21:44,335 autoreload File /Users/branko/Desktop/barter_app/.venv/lib/python3.12/site-packages/urllib3/response.py first seen with mtime 1769460188.6749008
DEBUG 2026-01-27 00:21:44,335 autoreload File /Users/branko/Desktop/barter_app/.venv/lib/python3.12/site-packages/sqlparse/exceptions.py first seen with mtime 1769459618.507793
DEBUG 2026-01-27 00:21:44,335 autoreload File /Users/branko/Desktop/barter_app/.venv/lib/python3.12/site-packages/urllib3/util/response.py first seen with mtime 1769460188.6839986
DEBUG 2026-01-27 00:21:44,335 autoreload File /Users/branko/Desktop/barter_app/.venv/lib/python3.12/site-packages/django/contrib/admin/models.py first seen with mtime 1769459620.0720448
DEBUG 2026-01-27 00:21:44,336 autoreload File /Users/branko/Desktop/barter_app/.venv/lib/python3.12/site-packages/django/core/files/__init__.py first seen with mtime 1769459622.796858
DEBUG 2026-01-27 00:21:44,336 autoreload File /Users/branko/Desktop/barter_app/.venv/lib/python3.12/site-packages/idna/package_data.py first seen with mtime 1769460188.8225265
DEBUG 2026-01-27 00:21:44,336 autoreload File /Users/branko/Desktop/barter_app/.venv/lib/python3.12/site-packages/django/db/models/fields/json.py first seen with mtime 1769459622.8947654
DEBUG 2026-01-27 00:21:44,336 autoreload File /Users/branko/Desktop/barter_app/.venv/lib/python3.12/site-packages/requests/models.py first seen with mtime 1769460189.0452495
DEBUG 2026-01-27 00:21:44,336 autoreload File /Users/branko/Desktop/barter_app/.venv/lib/python3.12/site-packages/django/template/autoreload.py first seen with mtime 1769459623.0039039
DEBUG 2026-01-27 00:21:44,336 autoreload File /Users/branko/Desktop/barter_app/.venv/lib/python3.12/site-packages/django/template/library.py first seen with mtime 1769459623.0126882
DEBUG 2026-01-27 00:21:44,336 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/email/message.py first seen with mtime 1696254875.0
DEBUG 2026-01-27 00:21:44,336 autoreload File /Users/branko/Desktop/barter_app/.venv/lib/python3.12/site-packages/django/templatetags/l10n.py first seen with mtime 1769459623.0351298
DEBUG 2026-01-27 00:21:44,336 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/string.py first seen with mtime 1696254874.0
